title,jobId,currency,footerPlaceholderLabel,footerPlaceholderColor,companyName,isSaved,tagsAndSkills,experience,salary,location,companyId,jdURL,staticUrl,jobDescription,showMultipleApply,groupId,isTopGroup,createdDate,mode,board
Senior Associate-Java Springboot Miroservices Senior Developer,100624501627,INR,30+ Days Ago,grey,PwC Service Delivery Center,False,"activemq,Data management,Enterprise architecture,Postgresql,MySQL,MongoDB,Apache,SSL",3-6 Yrs,Not disclosed,Chennai,1428182,/job-listings-senior-associate-java-springboot-miroservices-senior-developer-pricewaterhouse-coopers-private-limited-chennai-3-to-6-years-100624501627,pwc-service-delivery-center-jobs-careers-676499,"The ideal candidate should have a strong background in Java development,hands-on experience with Spring Boot and microservices architecture,and a passion for building scalable and resilient software solutions <br><br> Qualifications-BE / BTech / MCA/ ME/ M.TECH/ MBA/ PGDM All qualifications should be in regular full-time mode with no extension of course duration due to backlogs",False,8483159,0,1718022326000,crawled,1
Azure Architect,250624010833,INR,18 Days Ago,grey,ORION SYSTEMS,False,"SAAS,Application Architectures,Iaas,Azure Vm,Azure architecture,PAAS,Load Balancing,Azure Kubernetes Service",8-13 Yrs,Not disclosed,"Hybrid - Chennai, Pune, Mumbai (All Areas)",178486,/job-listings-azure-architect-orion-systems-pune-chennai-mumbai-all-areas-8-to-13-years-250624010833,orion-systems-jobs-careers-559603,Certifications such as Microsoft Certified: Azure Solutions Architect Expert or Microsoft Certified: Azure DevOps Engineer Expert are preferred. AZ305 Certification,False,326520,0,1719327608414,jp,1
Lead/Sr. Backend Automation Engineer,240624006741,INR,19 Days Ago,grey,MSys Technologies,False,"Golang,Kubernetes,python,Docker,SDET,Automation Testing,Ginko,Go Framework",4-8 Yrs,Not disclosed,"Hybrid - Chennai, Pune, Bengaluru",620175,/job-listings-lead-sr-backend-automation-engineer-msys-technologies-pune-chennai-bengaluru-4-to-8-years-240624006741,msys-technologies-jobs-careers-620175,<p> </p><ul><li>Strong Golang development and  QA automation with knowledge on automation frameworks like Ginko.  </li><li>4 - 8 years of automation experience and understanding of Software Testing Life Cycle.</li><li>Knowledge or experience in python</li><li>Good communication skills</li><li>Good to have Kubernetes Skill </li></ul><br /><br /><br />,False,4610259,0,1719236397619,jp,1
Infra Lead,200624006966,INR,24 Days Ago,grey,ORION SYSTEMS,False,"Azure Active Directory,Linux,Ansible,Infrastructure,Kubernetes,Cloud Infra,AWS,Cloud",9-13 Yrs,Not disclosed,"Hybrid - Chennai, Mumbai (All Areas)",178486,/job-listings-infra-lead-orion-systems-chennai-mumbai-all-areas-9-to-13-years-200624006966,orion-systems-jobs-careers-559603,Points Discussed. Exp required Minimum 8 years (Team handling exp is required). <br><br> . Proficient in building Kubernetes clusters using kubeadm <br><br>Proficient in writing YAML manifests for Kubernetes configurations <br><br>Experience with API Gateway integrations with AWS Lambda functions for serverless application development,False,326520,0,1718872624407,jp,1
Java Developer Team Lead,300624000042,INR,14 Days Ago,grey,Birlasoft,False,"Docker,Kafka,Spring Boot,Java Fullstack,SQL,CD,Redis,Grpc",6-10 Yrs,Not disclosed,"Chennai, Mumbai Suburban, Pune",152,/job-listings-java-developer-team-lead-birlasoft-mumbai-suburban-pune-chennai-6-to-10-years-300624000042,birlasoft-jobs-careers-152,"Freshers and below 6 year candidates dont apply for this role itll not be considered. <br><br>Working on EOD risk,Realtime risk - facilitating real-time and batch calculations of financial <br><br>Must Have:  Experience Level 6-10 years and 6+ years of experience as a Java Developer.  . <br><br>Good grasp of core concepts of computer science such as algorithmic thinking,data",False,219806,0,1719689671616,rmj,1
Senior Cloud Engineer - Multi Cloud,110724501940,INR,3 Days Ago,grey,Antworks,False,"Automation,Product engineering,GIT,PDF,Networking,Powershell,Configuration management,Cloud",8-13 Yrs,Not disclosed,"Chennai, Bengaluru",123565649,/job-listings-senior-cloud-engineer-multi-cloud-antworks-chennai-bengaluru-8-to-13-years-110724501940,antworks-jobs-careers-1447318,"<div> <ul> <li> Act as a technical resource and subject matter expert throughout the product development lifecycle from ideation and design to implementation, support, testing, documentation, and delivery.  </li> <li> Lead the development of Cloud reference architectures to consistently enhance the quality and uniformity of Cloud infrastructure solutions.  </li> </ul> <div> <strong> </strong> </div> <div> <strong> Academic:  </strong> </div> <ul> <li> BSc/BCA/BE/B. Tech/MCA/M. Tech/MSc  </li> </ul> <div> <strong> Experience:  </strong> </div> <ul> <li> Minimum 8 years of hands-on experience as a Multi-cloud Engineer.  </li> </ul> <ul> <li> Proven track record of successfully implementing and managing cloud practices in a live environment.  </li> </ul> Working Relationships  <div> <strong> Internal:  </strong> </div> <ul> <li> Design, engineer, and implement Cloud DevOps.  </li> </ul> <div> <strong> External:  </strong> </div> <ul> <li> Attend client calls and document requirements.  </li> </ul> Primary Responsibilities  <div> <strong> Pre-requisites:  </strong> </div> <ul> <li> A minimum of 4 years of experience in Azure & AWS Cloud platforms.  </li> </ul> <ul> <li> Hands-on expertise in Cloud Migration Projects and Cloud-based Product Development.  </li> </ul> <ul> <li> A minimum of 3 years of hands-on experience in Python, Java, or .NET development.  </li> </ul> <ul> <li> Bachelor s degree in CS/Software engineering or equivalent engineering degree.  </li> </ul> <ul> <li> Certification in Azure or AWS (AWS Certified Solutions Architect Professional or Microsoft Azure Solution Architect Expert).  </li> </ul> <ul> <li> Excellent communication, logical reasoning, and problem-solving attitude.  </li> </ul> <div> <strong> Cloud:  </strong> </div> <ul> <li> Experience in Cloud migration architectures and cloud-native solutions.  </li> </ul> <ul> <li> Proficient in designing and implementing solutions focusing on Compute, Networking, Storage, Security/Identity, Application integration, and Management services.  </li> </ul> <ul> <li> Hands-on experience with IaC tools such as Terraform, CloudFormation, and ARM templates.  </li> </ul> <ul> <li> Develop automation pipelines for deployment into Cloud Platforms.  </li> </ul> <ul> <li> Establish industry standards, best practices, and latest trends in Cloud DevOps, Infrastructure Automation, and Network Security.  </li> </ul> <ul> <li> Research and articulate offerings of cloud platforms, cloud-agnostic vendors, and legacy implementations.  </li> </ul> Competencies  <ul> <li> Strong understanding of CI/CD pipelines and tools (e.g., Git, Jenkins, GitLab CI, Azure DevOps, AWS CodePipeline).  </li> </ul> <ul> <li> Strong scripting and automation skills (e.g., Python, PowerShell, Bash).  </li> </ul> <ul> <li> Familiarity with containerization tools (e.g., Docker) and orchestration platforms (e.g., Kubernetes, EKS, AKS).  </li> </ul> <ul> <li> Exposure to Continuous Deployment tools (Jenkins, Ansible), configuration management tools, and monitoring tools (Cloud Monitoring services, Prometheus, Grafana, Nagios).  </li> </ul> </div>",False,4351456,0,1720700590000,crawled,1
Senior DevOps Engineer,110724501923,INR,3 Days Ago,grey,SuperOps.ai,False,"Automation,orchestration,cloud security,Coding,GCP,devops,Infrastructure,Technical Lead",5-7 Yrs,Not disclosed,Chennai,7100381,/job-listings-senior-devops-engineer-superops-ai-chennai-5-to-7-years-110724501923,superops-ai-jobs-careers-7100381,"Has expertise in AWS and GCP preferably<br><br> Youre someone who . Has 5 - 7 years of experience working as a DevOps Engineer<br><br> Hands-on experience with container orchestration systems such as Kubernetes<br><br> Has experience delivering infrastructure as code(IAC) using Terraform / Cloudformation<br><br> Has experience with logging,monitoring,and alerting systems and tools",False,6150867,0,1720700559000,crawled,1
Systems Engineer (DevOps),110724501144,INR,3 Days Ago,grey,Williams-sonoma,False,"Supply chain,Maven,Automation,Tomcat,Production support,Debugging,Agile,Troubleshooting",5-8 Yrs,Not disclosed,"Chennai, Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Bengaluru",3976508,/job-listings-systems-engineer-devops-williams-sonoma-india-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-5-to-8-years-110724501144,williams-sonoma-jobs-careers-3976508," . Technical proficiency in setting up and maintaining dashboards for monitoring VMs,legacy applications,Kubernetes environments using Prometheus & Grafana,AppDynamics,etc",False,7789965,0,1720700308000,crawled,1
DevOps Engineer,110724501141,INR,3 Days Ago,grey,Anetcorp India,False,"Automation,Staffing,devops,microsoft azure,Deployment,HTTP,Medical insurance,Resource management",8-10 Yrs,Not disclosed,"Chennai, Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Bengaluru",3971168,/job-listings-devops-engineer-anetcorp-india-private-limited-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-8-to-10-years-110724501141,anetcorp-india-jobs-careers-3971168,"Bachelor s degree in computer science,Engineering,or a related field (or equivalent work experience)<br><br>Preferred Qualifications:  . Microsoft Azure certifications such as Azure Solutions Architect,Azure DevOps Engineer,or similar<br><br> . 8-10 years of experience working in a DevOps role,specifically with a focus on Microsoft Azure",False,7789033,0,1720700308000,crawled,1
AWS Senior Engineer,110724501140,INR,3 Days Ago,grey,Anetcorp India,False,"Unix,Business services,Project development,Linux,Staffing,HTTP,Medical insurance,Troubleshooting",5-8 Yrs,Not disclosed,"Chennai, Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Bengaluru",3971168,/job-listings-aws-senior-engineer-anetcorp-india-private-limited-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-5-to-8-years-110724501140,anetcorp-india-jobs-careers-3971168,"Experience with cloud technologies such as AWS . 5 to 8+ years supporting deployments and managing AWS . Strong troubleshooting skills that span systems,network,and code . <br><br>Prior experience in an enterprise-facing technical operations role",False,7789033,0,1720700307000,crawled,1
